"","HR","upper","lower","p value","model"
"CPQ",1.12273424562373,1.22229193909802,1.03128569041082,0.00757078078989084,1
"CPT1C",1.20954129063253,1.3320958942367,1.0982618744451,0.000111819791480375,1
"CRHR2",1.11884662029255,1.20781689165465,1.03643008173626,0.00402078910723302,1
"CRISPLD1",1.18559444346652,1.32463037066251,1.06115201305227,0.0026205330807555,1
"CRY2",1.14953888719143,1.24360047849498,1.06259178571926,0.00051488832753722,1
"CSGALNACT2",1.12128179259426,1.22108159383355,1.02963869470526,0.00850430703541287,1
"CST6",1.13159834052267,1.22524485449813,1.04510930984335,0.00230686411777851,1
"CTHRC1",1.15929511167782,1.27937978735354,1.05048177972246,0.00328959750136742,1
"CTSK",1.16519361719195,1.26248155223848,1.07540277569806,0.000186450356548121,1
"CUZD1",1.14416226884188,1.25348952103485,1.04437035609251,0.00382344793385719,1
"CWC27",1.15607929668264,1.27342928823041,1.04954342779054,0.00327932934917017,1
"CXCL14",1.14274082723997,1.2386730119243,1.05423835481199,0.00117786735452023,1
"CXorf23",1.18424535076552,1.31785479423477,1.06418177248738,0.00193199177407144,1
"DAAM1",1.14638024931232,1.24173588444362,1.0583471835496,0.000805152148195588,1
"DACT1",1.14311173555184,1.23906222644044,1.05459145801759,0.00114396832236728,1
"DACT3",1.13796986524001,1.24819220594794,1.03748077261138,0.00614329460874952,1
"DCN",1.15865219869175,1.26037600680469,1.06513842717197,0.000604225751897148,1
"DCTN2",1.11889717343979,1.21206330805264,1.0328923220545,0.00590457537780503,1
"DCX",1.11206571876572,1.20384469954349,1.02728380440009,0.00865825189970576,1
"DDX4",1.12780602467005,1.21376074551897,1.04793834697482,0.00132984067421291,1
"DENND2A",1.1557140113353,1.25388533848499,1.06522888098409,0.000503183870327432,1
"DFNA5",1.1080683382695,1.1979812819261,1.02490369490687,0.00993978044407784,1
"DGKD",1.12655089487559,1.21926742742482,1.04088478884855,0.00314712775084595,1
"DIP2C",1.14579823927754,1.24158863733095,1.05739821198248,0.000892543838702624,1
"DIS3",1.13469582513484,1.22951646097886,1.04718778189711,0.00202877299677219,1
"DISP2",1.13706182724762,1.2433620200432,1.03984968025546,0.0048485767442892,1
"DKK3",1.121693729672,1.21485198510077,1.03567911039066,0.00478450334221577,1
"DLL1",1.15520730461871,1.26934725077477,1.0513308441247,0.0026890636646562,1
"DNAJC18",1.17959514844777,1.30017575248189,1.07019740337828,0.000880490242366239,1
"DNAJC27",1.13304461132389,1.24366598567604,1.03226276672049,0.00858769428674721,1
"DNAJC8",1.11678429172798,1.21170996637163,1.02929511918188,0.00796203049068877,1
"DOCK1",1.18976160904134,1.28900745796681,1.09815709567841,2.13277335460322e-05,1
"DPY19L3",1.16687134194445,1.29467082490261,1.05168719527889,0.00361026026567613,1
"DST",1.16814034644153,1.26468042132854,1.0789697112185,0.000125048512753205,1
"DYNC2LI1",1.14901445385839,1.25016586980401,1.05604723906153,0.00125195899755777,1
"ECM1",1.14299993161076,1.24325296597948,1.05083106930932,0.00183441001246359,1
"ECM2",1.17495886670895,1.3110918739702,1.05296079234899,0.00394408510701751,2
"EDNRA",1.15296556462102,1.24819129060385,1.06500470177031,0.000439082724795085,1
"EFEMP2",1.14791808295422,1.24866383699585,1.05530078323047,0.00130888715393435,1
"EHD2",1.13048779907595,1.22518370504958,1.04311105231999,0.00280482770711437,1
"EIF2S2",1.15305355269518,1.25909599523545,1.05594212070729,0.00151084325703855,1
"EMILIN1",1.11397431401034,1.20886873749243,1.02652896363991,0.00966187960504415,1
"ENAH",1.11568632279015,1.20745873124166,1.03088903881708,0.00664253678927869,1
"ENOX1",1.17838149285845,1.2759240947546,1.08829588564073,5.22722729203708e-05,1
"ENTPD5",1.13878160497413,1.2392742501192,1.04643790000698,0.00259542741249085,1
"EPB41L4A-AS1",1.17699547511053,1.32739875259814,1.04363390858938,0.00790638974794412,1
"EPHB2",1.1199940486764,1.21336455631327,1.0338085635878,0.005540328868583,1
"EPOR",1.13037873203595,1.22418848671058,1.04375763349365,0.00258826066948815,1
"ERCC8",1.1673503200431,1.26173813976633,1.08002344286518,9.59969765107736e-05,1
"ERRFI1",1.18525043019412,1.31590915589165,1.06756501844039,0.00144579003280434,1
"ESD",1.25101787417665,1.37242819312853,1.14034798275446,2.14738056422799e-06,1
"EYA4",1.14816873824961,1.2429603661125,1.06060618458561,0.000640751792540079,1
"FAM155A",1.15958087246233,1.27750433071714,1.05254265480704,0.00273291477756132,1
"FAM172A",1.21662622941437,1.32418875846903,1.11780089706422,5.72336971630667e-06,1
"FAM198B",1.12171488292568,1.22208040015801,1.02959206154873,0.00861547358433748,1
"FAM220A",1.16244421050019,1.29430513760716,1.04401698120706,0.00603814517225052,1
"FAM3C",1.17076439136195,1.31125309323132,1.04532776102234,0.00639801786814876,1
"FAM76A",1.12288349032764,1.21416433231176,1.03846513959909,0.00365513458862784,1
"FAP",1.13563704534349,1.23231791709838,1.04654122192199,0.00227903987064632,1
"FBN1",1.15386474990462,1.24887298272869,1.06608428517961,0.000392472219735868,1
"FBN2",1.11388359830206,1.20090692219764,1.03316639086052,0.0049527677031077,1
"FEZ1",1.1536080707555,1.24663544883558,1.06752265239631,0.000304696110182227,1
"FGF1",1.11706351039595,1.20675453840645,1.03403869349099,0.00496312328275678,1
"FGF9",1.12186337443803,1.21592488849954,1.0350782707134,0.00512224237411322,1
"FIBIN",1.2679004101409,1.44146468172863,1.11523471258944,0.000287714078272433,1
"FILIP1L",1.15181096913874,1.25114320690514,1.06036503359994,0.000811900723516734,1
"FKBP7",1.27716832000443,1.42695203646187,1.14310703929993,1.53321587656765e-05,1
"FLNC",1.13906750811847,1.23255613456179,1.05266993662118,0.0012148452630312,1
"FLRT1",1.11079506535053,1.2032015442829,1.02548545010591,0.00995992989726493,1
"FMO4",1.116176779886,1.21247420679479,1.02752751108012,0.0092379371107342,1
"FMOD",1.12004603083075,1.21136488407261,1.03561125774265,0.00458271101783816,1
"FNDC4",1.14130442990264,1.23434351690636,1.0552781975799,0.000947701819265383,1
"FOXK1",1.18508775992358,1.33411088909431,1.05271084300505,0.00495475791059832,1
"FOXN3",1.13511634583507,1.23251731367228,1.04541259119754,0.00255021182740926,1
"FRA10AC1",1.18201910113564,1.31733354870413,1.06060394258077,0.00249493029279995,1
"FRY",1.11618424533839,1.21042069204309,1.02928451052726,0.00786203197675599,1
"FSTL1",1.15244016063271,1.25122512303411,1.06145432935248,0.000721460833099578,1
"FSTL3",1.17125796563834,1.27148956777548,1.07892762696539,0.000161107039832837,1
"FZD1",1.1701479495141,1.27912461904579,1.0704556877136,0.000543084451885432,1
"GALNT10",1.11478523879959,1.20611139233628,1.03037425609439,0.00683505684838332,1
"GAS5",1.19319061823424,1.33370533474442,1.06748006051504,0.00187351843019975,1
"GCC2",1.12422295440411,1.22757644175813,1.02957111933412,0.00907006493275309,1
"GCG",1.11051587372442,1.19637473758896,1.03081874520292,0.00580111553461996,1
"GFPT2",1.15631032389286,1.25432290144527,1.06595643243108,0.000467672539675409,1
"GFRA1",1.10733542424625,1.19548483492103,1.02568573517005,0.00908267247431029,1
"GHR",1.11063053263421,1.19800365642998,1.02962972892348,0.00661394775773527,1
"GJB2",1.15407547812773,1.26691824715139,1.05128346853511,0.00260642449732712,1
"GLI3",1.11542551329063,1.20741117202472,1.03044770872321,0.00689627818313611,1
"GLS",1.11773266050696,1.21311129654474,1.02985299363907,0.0077207387758009,1
"GLT8D2",1.16301502317419,1.2680197305086,1.06670575511182,0.000616729768840147,1
"GNA12",1.17427333201655,1.27926489116123,1.07789861803646,0.000236172931317697,1
"GPATCH3",1.12093369560163,1.22022920002173,1.02971831022627,0.0083836219001397,1
"GPC1",1.14104615719771,1.23529155742589,1.05399112058109,0.00111957954025991,1
"GPC6",1.16554603065281,1.2961280221077,1.0481198819862,0.00469279147882016,1
"GPR124",1.15862374010778,1.25559511296634,1.06914160247877,0.000330386603062245,1
"GPR176",1.11090026928449,1.20254106749599,1.02624304620721,0.00930904809296406,1
"GPX8",1.18331730317333,1.32345204422296,1.05802083732586,0.00320213368508817,1
"GRP",1.17038716030417,1.26281357759675,1.08472551238461,4.96869385582953e-05,1
"GSE1",1.12824304961201,1.23125327228943,1.03385096116812,0.0067943034223783,1
"GTF2IRD1",1.11443885003845,1.20536668355244,1.03037023291095,0.00677732903501215,1
"GULP1",1.16561563971444,1.29888529703448,1.04601986229954,0.00552801397685956,2
"HCFC1R1",1.11360156819208,1.20614063362538,1.02816240337778,0.00824487202941169,1
"HEATR2",1.12542090189998,1.21803320279305,1.03985031239626,0.00340644500586067,1
"HEPH",1.13650977886202,1.23169442275166,1.0486809500715,0.00181900446708859,1
"HMGB1",1.18118719953998,1.31434645028207,1.06151859736653,0.00224782067820237,1
"HMGB1P12",1.13827444406738,1.25598109626605,1.03159889417829,0.00989149693895245,1
"HOPX",1.12054522897104,1.21349293542037,1.03471686856982,0.00512041871098555,1
"HOXA11",1.12562618417364,1.22230106448498,1.03659756447252,0.00487823776219274,1
"HOXA5",1.14314297145909,1.23868228297461,1.05497258752921,0.00108810410629231,1
"HOXA9",1.14077985876151,1.23307105850898,1.05539634328094,0.000905612996113066,1
"HSD17B6",1.1700822750546,1.31468964996949,1.04138077791114,0.0082425712056789,2
"HSPA12A",1.14084564267708,1.24745999222387,1.04334310401012,0.00384251342586337,1
"HSPA12B",1.15519232782105,1.26962192718485,1.05107613982025,0.00275655675885884,1
"HSPB6",1.14036494710692,1.23386617984573,1.05394915091421,0.00108767239691718,1
"HTRA1",1.13044315395347,1.22650116124849,1.0419082873264,0.00321309942983192,1
"ID1",1.11764812950589,1.20928804171551,1.03295269472439,0.00566934884458846,1
"IFNA1",1.18533721378376,1.29712281988421,1.08318525342579,0.000217505870359517,1
"IFT88",1.15223601247264,1.24514712651534,1.06625779409248,0.000341748802869202,1
"IGF2",1.24040055858781,1.35120189964909,1.13868515589309,8.01300114997629e-07,1
"IGFBP4",1.11611077290757,1.21089144698562,1.02874891097907,0.00825328791700544,1
"IGFBP5",1.14289438615859,1.23904030815396,1.05420910790137,0.00119138110969051,1
"IGFBP6",1.19868864430393,1.29884638160066,1.10625435489334,9.58765616920151e-06,1
"IGIP",1.22542705832858,1.35601718442714,1.10741330753727,8.32920983766602e-05,1
"IL17D",1.1973555645992,1.33094821341029,1.07717214962347,0.000845596507372181,1
"ING4",1.15941742126828,1.2668220320533,1.06111886494553,0.00106642759707122,1
"IRS2",1.13176316516854,1.23439321211346,1.03766599610447,0.00519289942411668,1
"ISL1",1.11968848679576,1.20596329182545,1.03958579499154,0.00283529621766954,1
"ISLR",1.13919824686941,1.23702039758956,1.04911175935268,0.00193115783599653,1
"ITGA5",1.12823794983992,1.22130222191642,1.04226525475535,0.00284860275324996,1
"ITGB1",1.14690969253181,1.24739111818067,1.0545223736577,0.00137949132697754,1
"ITIH3",1.13614844912303,1.23166008482308,1.04804346130132,0.00193934437351256,1
"ITSN1",1.12670138566225,1.22450179277449,1.03671225305183,0.00497109729969529,1
"JAM3",1.11436572453968,1.20611597494925,1.02959499237302,0.00730840960169317,1
"JMJD1C",1.16947316610075,1.26749233455716,1.0790341282084,0.000137692204708854,1
"KATNAL1",1.14641950953127,1.26283769967327,1.04073365260947,0.0056219339398349,1
"KCNE2",1.12202011085034,1.22234204859325,1.02993194957292,0.00841489832742516,1
"KCNJ3",1.17541833491651,1.26684811430602,1.0905871402072,2.34844833805032e-05,1
"KDELC1",1.18874473425448,1.30096720206681,1.08620266596482,0.000172310193414815,1
"KDELR3",1.12518240023117,1.22049659169167,1.03731173229676,0.0044697349192049,1
"KDM5B",1.15113410934117,1.24921484709792,1.06075407346229,0.00074161941552023,1
"KIAA1462",1.1473295296371,1.25512879679751,1.04878881986934,0.00270291151157577,1
"KIF26B",1.15260339587143,1.26085068034719,1.05364942009512,0.00192839464788953,1
"KIT",1.16334923660309,1.25935629708259,1.07466127690806,0.00018424520743331,1
"LAMA2",1.11319326006561,1.2037626210232,1.02943820701308,0.00721066141272769,1
"LAMB1",1.1246097818189,1.21943319961849,1.03715985570874,0.00446398646308746,1
"LAMC1",1.12674068539199,1.2289463337741,1.03303499691384,0.00706831282121397,1
"LATS2",1.17000001751657,1.28903825294544,1.06195455244315,0.0014937031131226,1
"LCOR",1.16171738618724,1.28955194430548,1.04655519409617,0.00488873049978952,1
"LEFTY2",1.17099135277649,1.26396395590245,1.08485747704592,5.13516773441945e-05,1
"LEPRE1",1.12359199114082,1.21434362287352,1.03962250781077,0.0032770406085283,1
"LEPREL2",1.14494186447395,1.24877944908619,1.04973850585415,0.00224407219469658,1
"LHPP",1.14089573131589,1.23665373793474,1.05255256973437,0.00134820166716347,1
"LHX1",1.11755293458282,1.2082052676167,1.03370229800297,0.00522335507791566,1
"LIG4",1.11371599303203,1.2039692091759,1.03022843415102,0.006747920928091,1
"LIX1",1.15827531099596,1.27397861206862,1.05308023490627,0.00248950267999009,1
"LMO3",1.17837379028479,1.27667691811815,1.08763992669101,5.94562258153179e-05,1
"LMO7",1.19029193453256,1.289466074127,1.09874537829346,1.98824460066772e-05,1
"LMOD1",1.12205462883003,1.21263671811476,1.03823888166294,0.00364527320816622,1
"LOXL1",1.1303283055148,1.22510578173661,1.04288306960471,0.00286329486256551,1
"LOXL2",1.14017647469117,1.23289492475212,1.05443080942244,0.00100664580163472,1
"LPAR4",1.13861134158063,1.23102047895492,1.05313909016091,0.00111258125122354,1
"LRRC17",1.22443806261579,1.32240137659627,1.13373185760077,2.52034556161231e-07,1
"LRRC20",1.11559410445947,1.20763348330263,1.03056947584886,0.00684227860243207,1
"LRRTM4",1.1138767182428,1.20130398617595,1.03281214223959,0.00515148075364915,1
"LTBP2",1.13058543417679,1.22643742457396,1.04222473838546,0.00311607360139173,1
"LTBP4",1.14863014048809,1.2445887603337,1.0600699939504,0.000711897191951501,1
"LUM",1.11798848636621,1.21428284852537,1.02933040449785,0.00815152620857118,1
"LYSMD3",1.19781863005784,1.35071059325453,1.06223307766956,0.00322967621317887,1
"MAB21L1",1.13433391608421,1.22647868421269,1.04911194115446,0.0015608665669054,1
"MACROD2",1.1650107304121,1.28794777922877,1.05380825516705,0.00284584232476022,1
"MAGEL2",1.15801185517123,1.25404385006656,1.06933378497565,0.000307214717436443,1
"MAP1B",1.12030212675018,1.21284544603304,1.03482010779366,0.00502896763043623,1
"MAPK8",1.1217039859904,1.21510731426347,1.03548042005607,0.00488790852477576,1
"MARVELD1",1.20132648247426,1.33323673845475,1.08246740872642,0.000559058992603039,1
"MATN3",1.17141782059968,1.26097326213129,1.08822268610135,2.56157918316795e-05,1
"MBNL2",1.15126461337018,1.24649451302563,1.06331010377352,0.000513024391132336,1
"MBOAT2",1.14077362594414,1.24278549067161,1.04713522600467,0.00257872492897965,1
"MEG3",1.14737161956506,1.26841390857107,1.03788016237256,0.00721935297136411,1
"METTL10",1.1730497007219,1.31097309311867,1.04963679848705,0.00489129382625511,1
"MFAP4",1.2196714645057,1.31984830352832,1.12709807434136,8.19010693731869e-07,1
"MLLT11",1.15259779026494,1.24445227762016,1.06752319073589,0.000283238362461037,1
"MMP11",1.1665487122017,1.2622146001475,1.07813354225218,0.000127761888741297,1
"MMP2",1.15799917512674,1.25390085159507,1.06943231427619,0.000302038280658301,1
"MN1",1.10991838281014,1.19955169135483,1.02698268476324,0.00849066638915113,1
"MOXD1",1.11987482669257,1.21121538764951,1.0354224692385,0.00465328579473862,1
"MPV17",1.11401642379721,1.20791511111942,1.02741706024343,0.00892116352378052,1
"MRPS27",1.15817040655442,1.25916824125794,1.06527360416778,0.00057694572192103,1
"MSH3",1.17124279747222,1.26906960861719,1.08095701080205,0.000112473289524944,1
"MTUS1",1.11661481193775,1.21125960422525,1.02936532671399,0.00787939776938993,1
"MXRA8",1.19805735342673,1.31287893161548,1.09327782443252,0.00010892381671931,1
"MYH11",1.14628526981636,1.23649771260483,1.06265454954214,0.000412114703645456,1
"MYO15B",1.1632092141227,1.27015975325818,1.06526417039205,0.000755169922160992,1
"MYSM1",1.16042395916575,1.29742299963719,1.03789108516071,0.00897102295250735,1
"N4BP2L2",1.19143910374773,1.33993429058933,1.05940056009378,0.0034687238715732,2
"N6AMT2",1.23264751972186,1.35426490463191,1.12195177079438,1.31954429585829e-05,1
"NAP1L3",1.15184112014123,1.24291466127375,1.06744091721355,0.000271683038709017,1
"NAT2",1.11828056951277,1.21609050797699,1.02833746661681,0.00897147436981574,1
"NBEA",1.14759469512243,1.25061461017154,1.05306108977289,0.00169697352562607,1
"NEFL",1.11179349537905,1.20304578737806,1.02746278598515,0.00846034561810784,1
"NEK3",1.18075258295701,1.28321522545033,1.08647141532347,9.10449266497672e-05,1
"NET1",1.11413267043769,1.20880122724658,1.02687818258097,0.00939325915985661,1
"NID1",1.12029624607567,1.21331916229381,1.03440522327077,0.0052525059447536,1
"NID2",1.11710190395979,1.20729219681388,1.03364924176923,0.00518337954417827,1
"NNAT",1.14403909175913,1.23982643247948,1.05565215354828,0.00103761759033153,1
"NOD1",1.12669589368441,1.22966133236769,1.03235224482583,0.00750468739894761,1
"NR2F1",1.17320537926504,1.27023907265203,1.08358409969449,8.15246440868613e-05,1
"NTM",1.14911702240576,1.25169883077867,1.05494221030886,0.00144284313428276,1
"NUAK1",1.17657217820405,1.27348846240926,1.0870315133479,5.66613734799038e-05,1
"NUDT11",1.11668708382335,1.20852363101215,1.03182925941923,0.00620014204892725,1
"NUFIP1",1.17696237165211,1.29312457463915,1.07123509324035,0.000691700840094885,1
"NUS1",1.22179520307147,1.36379420045452,1.09458121888988,0.000355706248072538,1
"OLFML2A",1.13621070582981,1.22853237369621,1.05082682042655,0.00135630184050061,1
"OTUD3",1.14104175168118,1.24693023737568,1.04414524570343,0.00356783099489858,1
"OXCT1",1.11645899262552,1.20871000068809,1.03124875404755,0.00653603150983279,1
"PALLD",1.14880887735733,1.24754179441135,1.05788987800423,0.000974639213483362,1
"PAM",1.14104313530785,1.23709431935306,1.05244961217996,0.0013759642099099,1
"PAPSS2",1.11849873941076,1.21152167430124,1.03261828211618,0.00600651257582978,1
"PARD3B",1.1695100712616,1.30526008230672,1.04787836947035,0.0051956507018514,1
"PARP4",1.26544908590453,1.45137440578396,1.10334134502781,0.000762583444658755,1
"PARVA",1.20123272201512,1.31446967407914,1.09775073620526,6.63306663413916e-05,1
"PCDH17",1.13667010723667,1.23122001332913,1.0493810356379,0.00167629003103102,1
"PCDH9",1.16707798731032,1.26655948069995,1.07541023474995,0.000213974125444675,1
"PCDHB4",1.14102773221879,1.25285341237858,1.03918325386574,0.00568014545384218,1
"PCOLCE",1.1350005790066,1.23569320809669,1.04251306546351,0.00350038120847255,1
"PDCD4-AS1",1.16149133359138,1.2987619988893,1.03872928154782,0.00862262095479661,1
"PDE1A",1.16242618308237,1.25400123100108,1.077538520466,0.000100168173488129,1
"PDGFD",1.18210506918766,1.27987235710407,1.09180605928622,3.68539761999048e-05,1
"PDGFRA",1.13345888484715,1.2301273056118,1.04438706284957,0.00269967414671634,1
"PDGFRB",1.20359523287387,1.30333083902279,1.11149175729078,5.05902102839882e-06,1
"PDGFRL",1.12684570957452,1.22216816894347,1.03895788276354,0.00394648870702463,1
"PDPN",1.21669197836342,1.36404090674433,1.08526024615138,0.000771624042973594,2
"PDZRN3",1.11711338932509,1.21162257566105,1.0299761243129,0.00752276335046879,1
"PIBF1",1.13289164587569,1.23330212290634,1.0406561842855,0.00398028258256491,1
"PIGU",1.17586038292651,1.29746427601763,1.06565372603546,0.00125362703760372,1
