"","HR","upper","lower","p value","model"
"CASP8",0.878223807944399,0.95034108693785,0.811579197660008,0.00126009283987773,1
"CBLN3",0.804492489061093,0.899270649012741,0.719703423731494,0.000128981063909505,1
"CCDC109B",0.870071921991963,0.941386303076873,0.804159936217992,0.000534706965554295,1
"CCDC114",0.857483084135572,0.957260877703707,0.768105389768405,0.00618687784514874,1
"CCL13",0.841936282440304,0.917756341514636,0.77238006606364,9.20140236489198e-05,1
"CCL2",0.885426896351011,0.958769125051118,0.817695072043528,0.00272690077533367,1
"CCL20",0.89780228079836,0.974197796272572,0.827397617291685,0.00967169498050731,1
"CCL5",0.860622895564914,0.930720297295057,0.795804894900373,0.000171907017203315,1
"CCL8",0.841279079518637,0.913230769775422,0.774996324105213,3.66335960421874e-05,1
"CCR1",0.878711780497658,0.950936474518464,0.81197263316286,0.00133548887713083,1
"CCR2",0.888613825320284,0.964315116839909,0.818855285747263,0.0046389176796127,1
"CD14",0.877374149519034,0.949969420584507,0.810326502689536,0.00125804197596001,1
"CD2",0.89127573256589,0.963152158157096,0.824763174471646,0.00362890152047044,1
"CD274",0.856067726156948,0.947382084063537,0.773554792828844,0.00265374007545161,1
"CD38",0.821729457291763,0.891429403618026,0.757479277933211,2.28158516404205e-06,1
"CD53",0.870699118615396,0.942811475729627,0.804102383852437,0.00064840201278946,1
"CD7",0.876583549962815,0.952297194433821,0.806889618657603,0.00183116965811915,1
"CD74",0.856067201118694,0.922126462891701,0.794740290320964,4.17407066350363e-05,1
"CD8B",0.869320930361479,0.949285809988584,0.79609204310516,0.00181363196338163,1
"CDC42EP4",0.889368993071102,0.963684442012498,0.820784451167934,0.0041912914185063,1
"CDC45",0.882358554378765,0.955002426831955,0.815240460768358,0.00193148573841388,1
"CDC7",0.878642239035243,0.952577003758332,0.810445959928636,0.00169772537947697,1
"CDCA8",0.87675807311114,0.952431743166505,0.807096911963351,0.00184699028144799,1
"CDKL1",0.871956612042119,0.945014744199283,0.804546530041904,0.000845072427060632,1
"CDKN3",0.889312357711023,0.962823498162692,0.821413759725151,0.00379287423754654,1
"CDT1",0.832196427978518,0.908773986042001,0.762071654093536,4.31684403400164e-05,1
"CENPC",0.814297079442075,0.931685590047185,0.711699033097969,0.0027916944940335,1
